UniProt_AC,InterPro_ID,InterPro_Name,Signature_ID,Start,End
A0A087WV53,IPR000048,"IQ motif, EF-hand binding site",PF00612,30,49
A0A087WV53,IPR000048,"IQ motif, EF-hand binding site",SM00015,27,49
A0A0A6YYL3,IPR002110,Ankyrin repeat,PF12796,106,199
A0A0A6YYL3,IPR002110,Ankyrin repeat,PF12796,206,298
A0A0A6YYL3,IPR002110,Ankyrin repeat,PR01415,136,151
A0A0A6YYL3,IPR002110,Ankyrin repeat,PR01415,184,198
A0A0A6YYL3,IPR002110,Ankyrin repeat,PS50088,135,167
A0A0A6YYL3,IPR002110,Ankyrin repeat,PS50088,168,200
A0A0A6YYL3,IPR002110,Ankyrin repeat,PS50088,201,233
A0A0A6YYL3,IPR002110,Ankyrin repeat,PS50088,234,266
A0A0A6YYL3,IPR002110,Ankyrin repeat,PS50088,267,299
A0A0A6YYL3,IPR002110,Ankyrin repeat,SM00248,135,164
A0A0A6YYL3,IPR002110,Ankyrin repeat,SM00248,168,199
A0A0A6YYL3,IPR002110,Ankyrin repeat,SM00248,201,230
A0A0A6YYL3,IPR002110,Ankyrin repeat,SM00248,234,263
A0A0A6YYL3,IPR002110,Ankyrin repeat,SM00248,267,296
A0A0A6YYL3,IPR002110,Ankyrin repeat,SM00248,300,329
A0A1B0GV03,IPR043937,"Golgin subfamily A , C-terminal binding motif",PF19046,576,616
A0A1B0GVH7,IPR000048,"IQ motif, EF-hand binding site",SM00015,289,311
A0A1W2PR48,IPR001680,WD40 repeat,PF00400,154,185
A0A1W2PR48,IPR001680,WD40 repeat,PS50082,202,243
A0A1W2PR48,IPR001680,WD40 repeat,SM00320,148,185
A0A1W2PR48,IPR001680,WD40 repeat,SM00320,195,234
A0A1W2PR48,IPR001680,WD40 repeat,SM00320,238,276
A0A1W2PR48,IPR001680,WD40 repeat,SM00320,277,316
A0A1W2PR48,IPR001680,WD40 repeat,SM00320,401,438
A0A1W2PR48,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,G3DSA:2.130.10.10,120,441
A0A1W2PR48,IPR036322,WD40-repeat-containing domain superfamily,SSF50978,148,432
A0A2R8Y7D0,IPR000626,Ubiquitin-like domain,PS50053,14,83
A0A3B3IT33,IPR003877,SPRY domain,PF00622,340,450
